,lr=0.0001
154,0.5288119912147522
155,0.26934757828712463
156,0.3593285381793976
157,0.3956660032272339
158,0.36449339985847473
159,0.29971498250961304
160,0.5121696591377258
161,0.2619657814502716
162,0.2483348250389099
163,0.36219561100006104
164,0.2779228985309601
165,0.38975948095321655
166,0.2636913061141968
167,0.3862949013710022
168,0.3075350821018219
169,0.2879863679409027
170,0.3438069522380829
171,0.3288067579269409
172,0.3237905502319336
173,0.4054247736930847
174,0.3748035132884979
175,0.38747987151145935
176,0.3381205201148987
177,0.35080045461654663
178,0.39473968744277954
179,0.41324156522750854
180,0.3750639855861664
181,0.2871752977371216
182,0.35670965909957886
183,0.4010167121887207
184,0.3784683048725128
185,0.3624045252799988
186,0.23796312510967255
187,0.4512329697608948
188,0.45385468006134033
189,0.34264886379241943
190,0.37473368644714355
191,0.41864317655563354
192,0.30887386202812195
193,0.33679378032684326
194,0.3131732642650604
195,0.44569700956344604
196,0.2821963131427765
197,0.5888465046882629
198,0.4509294927120209
199,0.2448800504207611
200,0.4654867649078369
201,0.4327338933944702
202,0.33875226974487305
203,0.22093558311462402
204,0.40435293316841125
205,0.35132357478141785
206,0.34957435727119446
207,0.3199942708015442
208,0.28316929936408997
209,0.24593736231327057
210,0.3219314217567444
211,0.36743977665901184
212,0.32075729966163635
213,0.29777446389198303
214,0.27128469944000244
215,0.41001495718955994
216,0.35748594999313354
217,0.335448682308197
218,0.3098822236061096
219,0.4600064158439636
220,0.44590091705322266
221,0.3743515610694885
222,0.34544017910957336
223,0.35111773014068604
224,0.36549901962280273
225,0.25549525022506714
226,0.4621153771877289
227,0.3797234296798706
228,0.32176336646080017
229,0.3989468216896057
230,0.4659106433391571
231,0.44984960556030273
232,0.5395583510398865
233,0.45058491826057434
234,0.3720749020576477
235,0.5138483047485352
236,0.3778380751609802
237,0.24640023708343506
238,0.41595107316970825
239,0.20581933856010437
240,0.3707156181335449
241,0.3699956238269806
242,0.24131520092487335
243,0.3055526912212372
244,0.40451663732528687
245,0.32918986678123474
246,0.4843830466270447
247,0.2215408980846405
248,0.36149242520332336
249,0.31484919786453247
250,0.40846073627471924
251,0.3599282205104828
252,0.334621399641037
253,0.2681756019592285
254,0.2506619989871979
255,0.3228090703487396
256,0.3169744908809662
257,0.2906303405761719
258,0.37615638971328735
259,0.2780843675136566
260,0.37394478917121887
261,0.3758608102798462
262,0.47433486580848694
263,0.2678825855255127
264,0.27748674154281616
265,0.36004844307899475
266,0.314903199672699
267,0.29587191343307495
268,0.2931413948535919
269,0.25530463457107544
270,0.28802284598350525
271,0.2771278917789459
272,0.3027404844760895
273,0.3315335512161255
274,0.1966257244348526
275,0.24845513701438904
276,0.3992501199245453
277,0.2601432204246521
278,0.35711055994033813
279,0.30529919266700745
280,0.34858861565589905
281,0.3496711850166321
282,0.2613413333892822
283,0.3986474871635437
284,0.38301223516464233
285,0.403391569852829
286,0.3340635895729065
287,0.3985798954963684
288,0.22192281484603882
289,0.4098605513572693
290,0.3112272620201111
291,0.5016094446182251
292,0.4628143310546875
293,0.28995394706726074
294,0.3175010681152344
295,0.37368521094322205
296,0.38595661520957947
297,0.3715211749076843
298,0.2616407573223114
299,0.32435980439186096
300,0.29377976059913635
301,0.39219778776168823
302,0.30520007014274597
303,0.3796338737010956
304,0.46127671003341675
305,0.29841598868370056
306,0.4047471880912781
307,0.3061803877353668
308,0.2671329081058502
309,0.36989060044288635
310,0.42699727416038513
311,0.4079795479774475
312,0.4088660478591919
313,0.4620386064052582
314,0.3884028196334839
315,0.41347551345825195
316,0.4178215265274048
317,0.32232314348220825
318,0.24210335314273834
319,0.44640639424324036
320,0.3336983323097229
321,0.3175976574420929
