stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
2.0,1.0,3.0,3.0,5.0,77.0,1.0,53.0,872.0,8.0,0.0,4.0,0.0,7.0,8.0,95.0,0.0,1.0,1.0,1.0,1427401583.0,1581940897.0
2.0,0.0,7.0,2.0,6.0,71.0,2.0,139735.0,5498.0,0.0,0.0,0.0,6.0,8.0,4.0,17.0,1.0,0.0,1.0,1.0,1427390090.0,1581629565.0
1.0,1.0,0.0,3.0,0.0,0.0,14.0,54.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,45.0,1.0,0.0,1.0,1.0,1427375262.0,1579549762.0
1.0,0.0,0.0,1.0,0.0,844.0,1.0,617.0,56.0,0.0,0.0,0.0,0.0,7.0,0.0,41.0,0.0,1.0,1.0,1.0,1427340524.0,1581737923.0
1.0,0.0,3.0,0.0,2.0,0.0,36.0,1434.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,54.0,0.0,1.0,1.0,1.0,1427332116.0,1580074319.0
1.0,0.0,0.0,0.0,0.0,2.0,1.0,46.0,251.0,0.0,0.0,0.0,0.0,7.0,0.0,27.0,0.0,1.0,1.0,1.0,1427348077.0,1581407615.0
1.0,0.0,0.0,0.0,0.0,98.0,1.0,9268.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,0.0,0.0,1.0,1.0,1427414677.0,1579841211.0
1.0,0.0,0.0,0.0,0.0,60.0,1.0,997.0,521.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1427429773.0,1581629184.0
1.0,0.0,0.0,2.0,0.0,3.0,1.0,1617.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,43.0,0.0,0.0,1.0,1.0,1427441690.0,1578304533.0
1.0,0.0,4.0,6.0,13.0,48.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,50.0,1.0,1.0,1.0,1.0,1427367193.0,1578928482.0
1.0,0.0,0.0,0.0,0.0,6.0,7.0,71.0,1511.0,0.0,0.0,0.0,0.0,7.0,0.0,70.0,0.0,1.0,1.0,1.0,1427399666.0,1581307551.0
1.0,13.0,18.0,0.0,0.0,183.0,1.0,1874.0,1434.0,0.0,0.0,0.0,0.0,17.0,0.0,137.0,0.0,0.0,0.0,1.0,1427365024.0,1577911301.0
1.0,0.0,0.0,0.0,2.0,43.0,1.0,674.0,1188.0,0.0,0.0,0.0,0.0,8.0,0.0,72.0,1.0,0.0,0.0,1.0,1427368398.0,1578724965.0
