stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
49,16,13,35,19,98.0,4,121,440,2,0,0,0,10,0,35,0,1,1,1,1427456364,1580836594
41,10,83,74,111,3.0,16,56737,19,0,0,0,0,7,0,30,1,1,1,1,1427474798,1581623102
41,2,1,3,23,59.0,5,184,2121,0,0,0,0,7,4,43,0,1,1,1,1427436308,1581410941
38,16,116,16,4,2792.0,6,14968,960,0,1,1,0,8,4,24,0,1,1,1,1427470230,1581888812
35,79,657,13,19,3234.0,8,468820,3820,7,3,17,8,28,9,44,0,1,1,1,1427496560,1581587427
33,3,10,14,14,58.0,6,115,1865,0,0,0,0,7,3,58,1,1,1,1,1427493746,1579180550
17,2,0,32,385,1449.0,10,2374,3507,2,0,0,0,7,3,65,1,0,1,1,1427488643,1581527182
16,10,12,53,57,,44,1008,0,0,0,5,0,17,0,0,0,1,1,1,1427444923,1581946954
2,0,0,0,1,93.0,5,76,103,0,0,0,0,7,0,55,0,0,1,1,1427953971,1578684688
20,8,14,64,115,584.0,16,1640,316,0,0,5,0,10,0,30,0,0,0,1,1428099563,1581668854
64,14,25,22,54,256.0,13,167,0,0,0,0,0,8,5,44,0,0,1,1,1428150689,1581907924
66,4,1,35,14,998.0,11,24297,1619,0,0,0,0,8,0,0,1,0,1,1,1428224867,1581878227
15,3,8,9,679,1856.0,7,2488,2359,0,0,0,0,8,0,36,1,1,1,1,1427450576,1580915872
13,0,1,13,0,250.0,14,129686,4583,15,0,0,0,7,0,38,0,0,1,1,1427424632,1581643637
12,2,6,3,1,61.0,2,531,414,3,0,0,6,7,0,37,1,0,1,1,1427424988,1579110508
11,0,0,18,0,328.0,11,419194,3736,0,0,0,0,7,0,38,0,0,1,1,1427495897,1581904601
10,6,58,8,14,6772.0,3,16199,9450,0,0,0,0,7,0,144,0,0,1,1,1427495189,1581807987
10,2,1,2,0,282.0,2,849,429,0,0,0,0,7,0,70,0,0,1,1,1427495218,1580354188
